time,open_x,high_x,low_x,close_x,Basis_x,Volume_x,RSI_x,MACD_x,OnBalanceVolume_x,btc_dom,eth_dom,crypto_cap,crypto_cap_exc_BTC,btc_reward,silver_mean,sp500_mean,vix_mean,gold_mean,us,btc_s2f,btc_s2f_price,nlp_compound,nlp_subjectivity,nlp_polarity,sentiment_Extreme Fear,sentiment_Extreme Greed,sentiment_Fear,sentiment_Greed,sentiment_Neutral
01-01-2018,13324.325,13984.275,12625,13483.445,15333.40287,201865.1296,47.5186166,79.45941756,494067.1241,42.56534089,13.56394078,5.35E+11,3.07E+11,32334328.99,17.0845,,,1312.905,60.21,23.57056352,6487.259012,0.0682,0.31970643,0.080355213,,,,,
02-01-2018,13484.525,15561.745,12945.01,14387.555,15266.74534,434341.0391,51.39655113,90.66687038,928408.1632,41.94739406,13.85721859,5.61E+11,3.26E+11,40553327.64,17.1395,2689.77,10.36,1315.095,61.125,21.50570996,4767.3701,0.17118,0.35675423,0.032914264,0,0,1,0,0
03-01-2018,14370,15643.78,13815,15149.76055,15215.85837,431629.7062,54.21896852,159.2171197,1360037.869,40.80483008,14.17272664,6.15E+11,3.65E+11,41037010.87,17.162,2705.455,9.355,1317.57,61.895,23.4261563,6354.679276,0.153504412,0.278985916,0.034516232,0,0,1,0,0
04-01-2018,15025.26055,15365,13959.07,15127.27,15102.41412,448864.9146,54.13020685,209.3160216,932502.6044,39.4935658,14.18760884,6.44E+11,3.90E+11,42527795.29,17.1975,2721.65,9.115,1320.63,61.725,21.89504056,5063.605777,0.162273077,0.288981733,0.060020205,1,0,0,0,0
05-01-2018,15127.28,17263.12,14550.5,17113.52697,15010.79272,501324.3202,61.19295312,404.6297798,1433826.925,41.18727497,14.06723487,6.54E+11,3.85E+11,41569957.46,,2737.24,9.16,,,25.72558459,8704.130654,0.233153982,0.290351253,0.055314154,0,0,0,1,0
06-01-2018,16967.695,17266.565,15858.105,16959.895,14922.28697,838850.3253,60.44056624,540.7866723,613548.0568,42.31376518,14.05084512,6.76E+11,3.90E+11,46563789.98,,,,,,21.90011231,5067.547901,0.177887037,0.314734922,0.02930225,1,0,0,0,0
07-01-2018,16959.895,17049.98,15611.98305,16176.74651,14805.01804,1171844.208,56.45858303,578.8261052,-558296.1511,40.47328667,14.88943627,6.91E+11,4.11E+11,43826673.43,17.124,,,1319.145,61.685,22.71396731,5728.522472,0.198344262,0.32378494,0.063174357,0,0,1,0,0
08-01-2018,16211.15651,16335.15,12406.5,14997.22513,14686.8743,2222638.662,51.08540284,507.9398969,-2780934.813,38.92359185,16.33328803,6.71E+11,4.10E+11,41050023.03,17.025,2745.19,9.565,1316.04,62.665,22.16938316,5279.955731,0.236925,0.250135545,0.04533092,0,0,1,0,0
09-01-2018,14990.1293,15675,13855.525,14514.4653,14602.84807,1452683.23,49.0347372,408.1030256,-4233618.043,38.4772527,18.33334099,6.43E+11,3.95E+11,43234479.12,16.946,2751.22,9.745,1314.28,63.46,22.44248079,5501.691698,0.165104237,0.322240149,0.02645666,1,0,0,0,0
10-01-2018,14514.9653,15145.33,12941.29462,14793.545,14592.70932,2100105.379,50.328522,347.4952757,-2133512.664,38.59821214,19.23590878,6.39E+11,3.93E+11,41068171.48,16.9725,2746.89,9.965,1319.68,63.475,22.17482907,5284.314985,0.104579412,0.282036177,-0.000149171,0,0,1,0,0
