time,open,high,low,close,Basis,Upper,Lower,Volume,Volume MA,RSI,Histogram,MACD,Signal,OnBalanceVolume
1620622800,59210.69,59425.4,58714.17,59072.69,58001.214500000024,59592.99606501938,56409.432934980665,29.022540000000003,26.5555725,61.181000703258825,187.55752346758027,294.7943923632265,107.23686889564623,69.77703999999993
1620626400,59136.57,59174.76,58759.3,58838.95,58046.73100000003,59679.148748295,56414.313251705054,12.219919999999998,26.367054000000003,57.30626036193205,147.5181431230991,291.6345477995201,144.11640467642098,57.55711999999993
1620630000,58863.1,58926.12,58343.6,58365.96,58068.66400000003,59705.854324039174,56431.47367596089,19.07132,26.836464499999998,50.35628431655567,83.19009182903363,248.10401946271304,164.9139276336794,38.48579999999993
1620633600,58390.1,58561.6,58055.51,58368.75,58166.36500000003,59620.02280076807,56712.70719923198,19.065240000000003,25.244553500000002,50.394500559873336,37.18411592369063,211.39407253829268,174.20995661460205,57.55103999999993
1620637200,58321,58539.11,57732.49,57886.59,58201.72450000003,59590.592619242794,56812.85638075727,13.28213,23.898939000000002,44.0792629392182,-25.959354997504448,141.7607628677215,167.72011786522594,44.26890999999993
1620640800,57912.55,58140.93,57566.47,57867.81,58240.621500000045,59543.67884295826,56937.56415704183,17.14127,24.155778500000004,43.848772411106395,-66.90319501994611,84.0911240902933,150.99431911023942,27.12763999999993
1620644400,57850.32,58262.07,57305.85,58087.05,58275.87900000004,59520.958271381984,57030.79972861809,19.22361,24.839477500000005,47.31243647288606,-76.44402646644457,55.4392860271837,131.88331249362827,46.35124999999993
1620648000,58051.2,58223.04,57548.2,57598.09,58275.699000000044,59521.16906651335,57030.22893348674,30.43176,25.765624000000003,41.207379416266484,-110.82335248133757,-6.645878108043689,104.17747437329388,15.919489999999929
1620651600,57518.5,57915.81,57479.07,57671.01,58286.71800000005,59506.427801356534,57067.00819864357,21.60357,26.509996500000007,42.40105672992022,-122.85828682781785,-49.39538416147843,73.46290266633942,37.52305999999993
1620655200,57646.63,57646.63,56825.8,56825.8,58255.17850000005,59586.62388774636,56923.73311225374,38.58168,28.156618,33.82788352235674,-178.5701910076668,-149.74983609324408,28.820354914422715,-1.0586200000000687
1620658800,56825.81,58297.71,56687.79,58281.96,58309.27650000006,59549.64078621179,57068.912213788324,52.1918,29.777897500000005,51.87974497707932,-111.462409072485,-110.50765642618353,0.9547526463014648,51.13317999999993
1620662400,58301.91,58566.8,57587.57,57587.57,58293.92750000005,59561.734123967806,57026.12087603229,44.621970000000005,30.34001600000001,45.504712710409905,-107.88055965879639,-133.89594692719402,-26.015387268397635,6.511209999999927
1620666000,57582.99,57688.95,56831.79,56982.01,58243.26600000005,59630.150979470054,56856.38102053004,45.16861,31.51023550000001,40.79659922525791,-138.38849581836047,-199.0010070413482,-60.61251122298775,-38.657400000000074
1620669600,56997.89,57179.99,56419.4,56746.9,58181.41500000005,59711.94364498479,56650.88635501531,33.92526,32.10155300000001,39.10491053087918,-164.70730378455312,-266.49664095367916,-101.78933716912604,-72.58266000000008
1620673200,56728.39,56959.44,55270.98,55720.24,58056.18250000005,59924.57316522363,56187.79183477648,63.24553999999999,33.38947850000001,32.723748719366526,-237.16024248536422,-398.23964027583133,-161.0793977904671,-135.82820000000007
1620676800,55706,55708.2,53545.31,55240.53,57875.05150000006,60069.36014105026,55680.74285894986,148.32433,38.44300250000001,30.24063726506695,-299.2854504042201,-535.1862107957422,-235.90076039152214,-284.15253000000007
1620680400,55147.75,55761.94,55037.3,55625.68,57715.087500000045,60069.679966721094,55360.495033278996,21.05016,35.97044800000001,34.53573707371443,-295.8052538841565,-605.6573277467178,-309.85207386256127,-263.10237000000006
1620684000,55653.2,56233.45,55377,56200.02,57575.936000000045,59943.25373325011,55208.61826674998,22.239179999999998,35.97666900000001,40.42620588625967,-238.6394346754866,-608.1513672069195,-369.51193253143293,-240.86319000000006
1620687600,56208.94,56234.05,55480.58,55820.83,57400.201000000045,59740.608506085344,55059.793493914745,26.524639999999998,35.950299500000014,37.995406232557436,-211.1293833705398,-633.4236617446077,-422.29427837406786,-267.38783000000006
1620691200,55800.99,56424.66,55429.27,55463.81,57212.61250000006,59542.323072463936,54882.901927536186,23.78885,35.036169000000015,35.81199731844815,-201.7530710289352,-674.4856171602369,-472.73254613130166,-291.1766800000001
1620694800,55437.86,55792.06,55089.22,55543.28,57036.14200000005,59309.54045603114,54762.74354396896,38.51247,35.51066550000001,36.684188150794256,-175.9185486081227,-692.6307318914551,-516.7121832833324,-252.66421000000008
1620698400,55572.29,55932.39,54521.15,54614.6,56824.92450000006,59172.825478584055,54477.023521416064,33.426069999999996,36.57097300000001,31.327135613638035,-205.05945113383666,-773.0364972006282,-567.9770460667916,-286.09028000000006
1620702000,54606.79,55256.06,54462.97,55123.55,56662.80400000005,59010.45894367429,54315.149056325805,17.4514,36.48997700000001,36.77619258642314,-174.91671069901918,-786.6229344405656,-611.7062237415464,-268.6388800000001
1620705600,55123.55,55527.9,54978.29,55390.1,56513.871500000045,58786.46141454156,54241.28158545853,10.12312,36.042871000000005,39.48445884519636,-124.26699477738453,-767.0399672132771,-642.7729724358926,-258.5157600000001
1620709200,55385.97,55479.41,54586.85,54793,56359.19200000004,58657.967860463556,54060.41613953652,22.37708,36.4976185,35.78633845119056,-118.25194144844556,-790.5878992464495,-672.335957798004,-280.8928400000001
1620712800,54809,55774.12,54710.04,55686.89,56250.146000000044,58457.41097685295,54042.881023147136,16.590819999999997,36.470096000000005,44.210539251164214,-45.10733028042932,-728.7201206485406,-683.6127903681113,-264.3020200000001
1620716400,55686.01,55828.12,55259.85,55742.8,56132.93350000004,58180.78611410996,54085.08088589013,29.603220000000004,36.9890765,44.69921709841372,12.903308646351434,-667.483654560172,-680.3869632065234,-234.6988000000001
1620720000,55795.7,55829.52,55149.42,55363.72,56021.21500000004,57978.9630440458,54063.46695595428,88.45496,39.8902365,42.012191011147905,30.597798580995004,-642.1397149802797,-672.7375135612747,-323.1537600000001
1620723600,55369.49,55989.6,55336.25,55891.66,55932.24750000004,57737.82461852472,54126.670381475364,22.68849,39.94448250000001,46.80794720897396,79.90949184346243,-572.8506487569466,-652.760140600409,-300.4652700000001
1620727200,55879.5,56190.31,55744.06,55842.12,55883.06350000005,57641.57703327527,54124.54996672482,10.58636,38.54471650000001,46.41999201022134,109.4176807829109,-515.9880396217704,-625.4057204046813,-311.0516300000001
1620730800,55842.2,55955.84,55148.15,55203.23,55729.12700000005,57121.63477253978,54336.61922746032,17.34456,36.8023545,41.62813642007473,87.10622364777748,-516.5229408449595,-603.629164492737,-328.3961900000001
1620734400,55264.69,55392.17,54788.4,55356.9,55617.59350000005,56724.963140702144,54510.22385929796,23.712609999999998,35.7568865,43.148298214755286,83.86561464927809,-498.7971461811394,-582.6627608304175,-304.6835800000001
