time,open,high,low,close,Basis,Upper,Lower,Volume,Volume MA,RSI,Histogram,MACD,Signal,OnBalanceVolume
1396310400,35662381.535466194,45431029.12833595,32789069.856024742,37307410.05473328,NaN,NaN,NaN,36892334.65690509,NaN,NaN,NaN,NaN,NaN,NaN
1396396800,40149226.72849369,41832714.50641632,30791592.488001823,36781306.35994339,NaN,NaN,NaN,36892334.65690509,NaN,NaN,NaN,NaN,NaN,-36892334.65690509
1396483200,36722135.888970375,40012032.19652271,26585175.49099922,34281832.60727215,NaN,NaN,NaN,36892334.65690509,NaN,NaN,NaN,NaN,NaN,-73784669.31381018
1396569600,33684209.932557106,35816723.63140869,30103016.112070084,33733182.42283726,NaN,NaN,NaN,36892334.65690509,NaN,NaN,NaN,NaN,NaN,-110677003.97071528
1396656000,31776143.11209011,38795550.10929394,30005972.664883614,31696027.222473145,NaN,NaN,NaN,36892334.65690509,NaN,NaN,NaN,NaN,NaN,-147569338.62762037
1396742400,32706732.373646736,35380549.94485378,31645110.407069206,32997323.38035965,NaN,NaN,NaN,28089862.711450428,NaN,NaN,NaN,NaN,NaN,-119479475.91616994
1396828800,33885734.23131943,34823873.130693436,31474774.308955193,33098903.280903816,NaN,NaN,NaN,28089862.711450428,NaN,NaN,NaN,NaN,NaN,-91389613.20471951
1396915200,33098903.280903816,34767943.096349716,31072632.70299816,33001486.95758438,NaN,NaN,NaN,28089862.711450428,NaN,NaN,NaN,NaN,NaN,-119479475.91616994
1397001600,32928389.060126305,34233964.66268921,23481832.822494507,32152738.359924316,NaN,NaN,NaN,28089862.711450428,NaN,NaN,NaN,NaN,NaN,-147569338.62762037
1397088000,32118049.96210289,32208772.960876465,3946862.179338455,24619480.52837658,NaN,NaN,NaN,28089862.711450428,NaN,NaN,NaN,NaN,NaN,-175659201.3390708
1397174400,25842613.23947811,33059487.183073044,22791443.008344173,32221189.263397217,NaN,NaN,NaN,28089862.711450428,NaN,NaN,NaN,NaN,NaN,-147569338.62762037
1397260800,32204554.026996613,34700393.566082954,29458364.476576805,30814451.35688591,NaN,NaN,NaN,28089862.711450428,NaN,NaN,NaN,NaN,NaN,-175659201.3390708
1397347200,31884175.00162983,33708735.88142872,26408724.70539379,29766217.8045578,NaN,NaN,NaN,33233544.00976778,NaN,NaN,NaN,NaN,NaN,-208892745.34883857
1397433600,29765519.46700859,36342102.74133682,26561455.839665413,35015389.93037987,NaN,NaN,NaN,33233544.00976778,NaN,NaN,NaN,NaN,NaN,-175659201.3390708
1397520000,33844448.15358257,48924751.9804039,33005992.404800415,41260312.03983593,NaN,NaN,NaN,33233544.00976778,NaN,55.335348935049474,NaN,NaN,NaN,-142425657.32930303
1397606400,45717380.10786915,60599574.860526085,38939546.84599304,47412223.2957325,NaN,NaN,NaN,33233544.00976778,NaN,62.11144514510458,NaN,NaN,NaN,-109192113.31953526
1397692800,52170731.61748791,65740394.65001583,42729059.20890045,46501838.24293518,NaN,NaN,NaN,33233544.00976778,NaN,60.645182845983854,NaN,NaN,NaN,-142425657.32930303
