time,open,high,low,close
1360191600,31.539,31.815,31.399,31.441
1360278000,31.5,31.654,31.214,31.521
1360537200,31.214,31.229,31.008,31.135
1360623600,30.873,31.133,30.853,31.057
1360710000,30.986,31.038,30.943,31.032
1360796400,30.875,31.093,30.302,30.635
1360882800,30.302,30.302,29.821,29.89
1361228400,29.262,30.097,28.789,29.468
1361314800,28.789,28.789,28.364,28.664
1361401200,28.494,28.494,28.494,28.494
1361487600,29.011,29.025,28.469,29.019
1361746800,29.025,29.04,29.015,29.033
1361919600,29.411,29.441,28.88,28.993
1362006000,29.005,29.19,28.439,28.444
1362092400,28.534,28.794,28.003,28.5
1362351600,28.684,28.749,28.509,28.649
1362438000,28.629,29.045,28.629,28.636
1362524400,28.724,29.045,28.629,28.809
1362610800,29.005,29.09,28.784,28.816
1362697200,28.9,29.24,28.399,28.959
1362952800,28.91,29.01,28.769,28.862
1363039200,28.99,29.34,28.89,29.181
1363125600,29.262,29.265,28.85,28.912
1363212000,28.85,28.85,28.619,28.821
1363298400,28.935,28.94,28.799,28.867
1363557600,28.865,29.1,28.734,28.891
1363644000,28.89,29.1,28.734,28.86
1363730400,28.678,28.99,28.474,28.957
1363816800,28.99,29.24,28.99,29.229
1363903200,29.155,29.155,28.644,28.715
1364162400,28.509,28.835,28.509,28.835
1364248800,28.835,28.835,28.624,28.693
1364335200,28.714,28.714,28.168,28.626
1364421600,28.658,28.769,28.008,28.521
1364767200,28.008,28.023,27.903,27.961
1364853600,27.948,27.968,27.217,27.264
1364940000,27.152,27.257,26.746,26.819
1365026400,26.956,27.006,26.751,26.794
1365112800,26.906,27.287,26.891,27.248
1365372000,27.282,27.282,27.127,27.167
1365458400,27.407,27.983,27.287,27.914
1365544800,27.778,27.778,27.562,27.687
1365631200,27.446,27.733,27.332,27.643
1365717600,25.458,27.332,24.668,24.801
1365976800,24.024,24.682,23.751,24.074
1366063200,23.683,23.796,23.14,23.255
1366149600,23.14,23.14,23.14,23.14
1366236000,22.639,23.54,22.639,23.279
1366322400,23.786,23.811,23.12,23.386
1366581600,23.14,23.475,23.135,23.36
1366668000,23.24,23.24,22.829,22.852
1366754400,23.195,23.641,23.005,23.229
1366840800,23.641,24.242,23.641,24.182
1366927200,24.136,24.141,23.996,24.017
1367186400,24.011,24.592,23.956,24.163
1367272800,24.547,24.552,24.026,24.186
1367359200,24.292,24.317,23.27,23.345
1367445600,23.601,24.041,23.395,23.831
1367532000,23.791,24.342,23.646,24.016
1367791200,24.136,24.417,23.886,23.959
1367877600,24.011,24.011,23.425,23.812
1367964000,23.871,23.956,23.656,23.933
1368050400,24.066,24.096,23.641,23.92
1368136800,23.676,23.791,23.18,23.673
1368396000,23.751,23.761,23.53,23.711
1368482400,23.26,23.565,23.26,23.395
1368568800,23.28,23.28,22.519,22.682
1368655200,22.719,22.749,22.113,22.682
1368741600,22.489,22.821,22.198,22.533
1369000800,22.589,22.839,22.539,22.749
1369087200,22.539,22.554,22.378,22.481
1369173600,22.383,22.699,22.383,22.497
1369260000,22.088,22.398,22.073,22.13
1369346400,22.368,22.368,22.368,22.368
1369692000,22.634,22.634,22.218,22.218
1369778400,22.408,22.408,22.408,22.408
1369864800,22.435,22.969,22.283,22.369
1369951200,22.207,22.373,22.178,22.365
1370210400,22.373,22.909,22.343,22.754
1370296800,22.669,22.669,22.368,22.439
1370383200,22.494,22.704,22.494,22.504
1370469600,22.368,22.634,22.368,22.54
1370556000,22.462,22.744,21.667,21.76
1370815200,21.667,21.817,21.572,21.813
1370901600,21.617,21.747,21.617,21.682
1370988000,21.797,21.853,21.687,21.833
1371074400,21.56,22.098,21.557,22.049
1371160800,22.013,22.108,21.908,22.044
1371420000,21.93,21.953,21.662,21.942
1371592800,21.435,21.662,21.206,21.639
1371679200,20.157,21.216,19.814,20.026
1371765600,19.814,20.034,19.754,19.992
1372024800,20.09,20.09,19.634,19.818
1372111200,19.336,19.694,18.677,19.662
1372197600,18.677,18.677,18.677,18.677
1372284000,18.622,19.629,18.367,18.858
1372370400,19.629,19.664,19.477,19.484
1372629600,19.519,20.095,19.398,19.594
1372716000,19.629,19.789,19.328,19.331
1372802400,19.443,19.884,19.398,19.723
1372975200,19.419,19.769,18.953,18.96
1373234400,18.953,19.118,18.797,19.058
1373320800,19.068,19.488,18.968,19.158
1373407200,19.368,19.534,19.048,19.311
1373493600,19.534,20.175,19.509,19.977
1373580000,20.11,20.17,19.654,19.813
1373839200,20.135,20.135,19.704,19.86
1373925600,19.714,19.999,19.709,19.957
1374012000,19.964,20.074,19.273,19.442
1374098400,19.323,19.463,19.283,19.409
1374184800,20.457,20.495,19.328,20.045
1374444000,20.363,20.555,20.18,20.391
1374530400,20.18,20.455,20.18,20.281
1374616800,20.415,20.445,20.024,20.048
1374703200,19.864,20.17,19.864,20.056
1374789600,20.29,20.325,19.739,19.799
1375048800,19.874,20.084,19.834,19.92
1375135200,19.834,19.864,19.679,19.7
1375221600,19.904,19.919,19.428,19.651
1375308000,19.72,19.814,19.644,19.664
1375653600,19.657,19.814,19.609,19.7
1375740000,19.616,20.019,19.493,19.989
1375912800,20.901,21.231,19.964,20.53
1376258400,21.231,21.447,21.231,21.369
1376344800,21.507,21.697,21.302,21.373
1376431200,21.631,22.992,21.627,22.273
1376517600,22.992,23.205,22.958,22.968
1376604000,23,23.25,22.889,23.088
1377036000,22.952,23.345,22.899,23.137
1377122400,23.428,23.54,22.899,22.985
1377208800,23.918,24.192,23.54,23.72
1377468000,24.061,25.028,23.991,24.567
1377640800,24.696,25.028,24.372,24.642
1377727200,24.372,24.457,23.701,24.131
1377813600,23.816,24.056,23.425,23.503
1378159200,24.124,24.502,24.019,24.424
1378245600,24.347,24.417,23.39,23.409
1378332000,23.5,23.661,23.035,23.246
1378418400,23.215,23.901,23.205,23.883
1378677600,24.041,24.041,23.51,23.709
1378764000,23.741,23.741,22.839,23.006
1378850400,22.809,23.21,22.794,23.161
1378936800,23.054,23.18,22.133,22.471
1379023200,22.133,22.208,21.502,21.707
1379282400,22.273,22.288,21.737,22.001
1379368800,22.734,22.976,21.747,22.019
1379455200,22.976,22.989,22.933,22.951
1379541600,23.081,23.315,22.749,22.776
1379628000,22.749,22.749,21.807,21.914
1379887200,21.863,21.908,21.392,21.843
1379973600,21.863,21.863,21.817,21.836
1380060000,21.627,21.913,21.582,21.876
1380232800,21.632,21.863,21.507,21.82
1380492000,21.737,21.832,21.682,21.693
1380578400,21.702,21.722,20.831,21.16
1380664800,21.181,21.888,21.126,21.884
1380751200,21.727,21.727,21.467,21.585
1380837600,21.687,21.838,21.687,21.742
1381096800,21.885,22.268,21.747,21.988
1381183200,21.894,22.408,21.883,22.308
1381269600,21.883,21.938,21.883,21.884
1381356000,21.614,21.988,21.537,21.88
1381442400,21.537,21.587,21.231,21.251
1381701600,21.499,21.587,20.756,21.336
1381788000,21.304,21.918,20.711,21.392
1381960800,22.195,22.258,21.918,22.244
1382306400,22.261,22.589,22.223,22.575
1382392800,22.589,22.589,22.514,22.528
1382479200,22.689,22.699,22.584,22.596
1382565600,22.622,22.854,22.439,22.778
1382652000,22.556,22.574,22.439,22.455
1382911200,22.574,22.574,22.494,22.537
1382997600,22.368,22.594,22.368,22.491
1383084000,22.809,23.04,22.358,23.001
1383170400,22.281,22.393,21.908,22.348
1383256800,21.908,21.918,21.832,21.842
1383519600,21.677,21.822,21.637,21.715
1383606000,21.757,21.807,21.707,21.761
1383692400,21.807,21.817,21.807,21.814
1383778800,21.802,21.802,21.417,21.676
1383865200,20.753,21.407,20.686,20.985
1384210800,20.686,20.686,20.686,20.686
1384297200,20.578,20.796,20.51,20.737
1384383600,20.75,20.796,20.435,20.675
1384729200,20.366,20.435,20.315,20.358
1384815600,20.211,20.35,20.17,20.275
1384902000,20.109,20.17,19.964,20.06
1385420400,19.964,19.964,19.964,19.964
1385506800,19.849,20.115,19.619,19.667
1385679600,19.694,20.084,19.634,20.015
1385938800,19.944,19.944,19.093,19.266
1386025200,19.525,19.788,19.013,19.372
1386111600,19.645,19.839,19.639,19.803
1386198000,19.639,19.644,19.268,19.548
1386284400,19.413,19.624,19.183,19.498
1386543600,19.498,19.924,19.493,19.678
1386630000,19.789,20.35,19.754,20.291
1386716400,20.28,20.435,20.265,20.333
1386802800,20.305,20.305,19.438,19.724
1386889200,19.493,19.664,19.448,19.593
1387148400,19.534,20.235,19.488,20.083
1387234800,19.874,19.874,19.834,19.836
1387321200,19.934,20.21,19.774,20.048
1387407600,19.863,19.864,19.133,19.516
1387494000,19.181,19.463,19.133,19.169
1387753200,19.463,19.473,19.423,19.435
1387839600,19.656,19.854,19.383,19.561
1388012400,19.863,20.029,19.854,19.91
1388098800,19.908,20.034,19.869,20.014
1388358000,19.734,19.869,18.983,19.71
1388444400,20.104,20.345,18.968,19.04
1388617200,20.345,20.355,20.054,20.133
1388703600,20.125,20.125,20.125,20.125
1388962800,20.275,20.275,20.125,20.158
1389049200,20.285,20.285,19.704,19.799
1389135600,19.754,19.769,19.403,19.552
1389222000,19.993,20.13,19.473,19.9
1389308400,20.152,20.335,20.11,20.193
1389567600,20.335,20.44,20.335,20.396
1389654000,20.345,20.565,20.235,20.286
1389740400,20.23,20.23,20.044,20.138
1389826800,20.16,20.175,20.069,20.096
1389913200,20.125,20.32,20.125,20.302
1390258800,20.335,20.345,19.864,19.872
1390431600,20.177,20.195,19.954,20.015
1390518000,20.168,20.195,19.834,20.148
1390777200,19.834,19.834,19.589,19.805
1390863600,19.757,19.789,19.704,19.712
1391036400,19.704,19.704,19.093,19.144
1391122800,19.358,19.358,19.183,19.331
1391382000,19.731,19.779,19.123,19.247
1391554800,20.084,20.205,19.779,19.957
1392073200,20.265,20.285,20.205,20.247
1392159600,20.387,20.555,20.285,20.516
1392332400,21.199,21.863,20.555,20.939
1392678000,21.863,21.933,21.853,21.929
1392764400,21.653,21.873,21.282,21.59
1393455600,21.282,21.517,21.021,21.351
1393542000,21.287,21.427,21.106,21.24
1393801200,21.387,21.717,21.302,21.485
1393887600,21.527,21.527,21.046,21.224
1393974000,21.236,21.327,21.196,21.276
1394060400,21.262,21.632,21.136,21.579
1394146800,21.512,21.577,20.796,20.933
1394402400,20.836,20.921,20.635,20.915
1394488800,21.036,21.297,20.826,20.844
1394575200,21.151,21.322,20.981,21.154
1394661600,21.221,21.221,21.186,21.205
1394748000,21.257,21.747,21.196,21.421
1395007200,21.361,21.427,21.106,21.129
1395093600,21.106,21.106,20.691,20.872
1395180000,20.619,20.821,20.515,20.654
1395266400,20.515,20.515,20.285,20.439
1395352800,20.199,20.535,20.195,20.231
1395612000,20.195,20.195,19.944,20.077
1395698400,20.078,20.155,20.034,20.047
1395784800,20.034,20.034,19.834,19.892
1395957600,19.963,19.974,19.664,19.777
1396562400,19.974,19.974,19.974,19.974
1396821600,20.061,20.185,19.979,20.037
1396908000,20.185,20.185,20.084,20.173
1396994400,19.97,20.25,19.774,19.993
1397080800,20.152,20.25,20.044,20.093
1397167200,20.032,20.044,19.989,20.042
1397426400,19.797,19.989,19.514,19.514
1397512800,19.621,19.634,19.509,19.518
1397599200,19.537,19.634,19.428,19.49
1398117600,19.428,19.428,19.428,19.428
1398290400,19.683,19.729,19.133,19.158
1398376800,19.687,19.794,19.594,19.706
1398722400,19.594,19.624,19.338,19.522
1398808800,19.468,19.483,19.058,19.152
1398895200,19.203,19.203,18.782,19.022
1398981600,19.033,19.634,18.897,19.526
1399240800,19.509,19.714,19.493,19.554
1399327200,19.524,19.639,19.509,19.632
1399413600,19.679,19.754,19.313,19.331
1399500000,19.323,19.348,19.138,19.223
1399586400,19.233,19.233,19.053,19.11
1399845600,19.133,19.634,19.133,19.534
1399932000,19.482,19.724,19.428,19.577
1400018400,19.597,19.949,19.549,19.735
1400104800,19.549,19.549,19.478,19.48
1400191200,19.488,19.488,19.328,19.417
1400450400,19.589,19.594,19.388,19.402
1400536800,19.313,19.453,19.303,19.4
1400623200,19.499,19.734,19.328,19.422
1400709600,19.435,19.779,19.403,19.537
1400796000,19.403,19.403,19.403,19.403
1401141600,19.052,19.428,18.973,19.095
1401314400,18.973,19.038,18.872,19.016
1401400800,18.983,18.993,18.637,18.685
1401660000,18.782,18.842,18.707,18.741
1401746400,18.908,18.933,18.797,18.83
1401919200,18.933,19.083,18.933,19.078
1402005600,19.015,19.083,18.988,19.046
1402264800,19.517,19.569,19.083,19.312
1402610400,19.785,19.789,19.569,19.749
1402869600,19.789,19.829,19.704,19.736
1403042400,19.98,20.054,19.784,20.03
1403128800,20.063,20.986,20.054,20.466
1403215200,20.986,20.986,20.896,20.978
1403820000,21.141,21.241,20.936,21.113
1404079200,20.996,21.151,20.801,21.043
1404165600,21.046,21.257,21.046,21.103
1404252000,21.081,21.317,21.016,21.291
1404338400,21.191,21.191,20.816,21.125
1404684000,21.124,21.126,20.856,21.002
1404770400,21.096,21.186,20.971,21.003
1404856800,21.161,21.236,21.081,21.176
1404943200,21.131,21.562,21.131,21.496
1405029600,21.486,21.547,21.241,21.487
