time,open,high,low,close
1389736800,92.58,94.61,92.46,94.33
1389823200,94.32,94.62,93.63,94.07
1389909600,94.05,94.91,93.97,94.09
1390168800,94,94.17,93.45,93.72
1390255200,93.92,95.43,93.92,95.23
1390341600,95.22,96.86,95.15,96.68
1390428000,96.67,97.81,96.44,97.35
1390514400,97.36,97.77,96.29,96.86
1390773600,96.88,97.15,95.24,95.68
1390860000,95.67,97.62,95.65,97.19
1390946400,97.2,97.69,96.4,97.43
1391032800,97.44,98.56,97.38,98.06
1391119200,98.04,98.34,97.13,97.45
1391378400,97.32,97.91,96.29,96.6
1391464800,96.61,97.67,96.4,97.61
1391551200,97.62,98.22,96.84,97.28
1391637600,97.27,98.79,97.27,97.93
1391724000,97.91,100.2,97.17,100.06
1391983200,100.02,100.51,99.13,99.91
1392069600,99.92,100.46,99.63,100.45
1392156000,100.44,101.35,100.07,100.29
1392242400,100.29,100.63,99.44,100.33
1392328800,100.34,100.44,99.47,100.34
1392588000,100.29,101.11,100.26,100.87
1392674400,100.83,103.11,100.6,103.11
1392760800,103.1,103.77,102.43,103.35
1392847200,103.37,103.4,102.31,102.84
1392933600,102.83,102.9,101.72,102.35
1393192800,102.33,103.42,102,102.8
1393279200,102.79,102.84,101.07,102.03
1393365600,102.04,102.86,101.61,102.53
1393452000,102.52,103.05,101.79,102.05
1393538400,102.03,102.93,101.86,102.65
1393797600,102.94,105.19,102.94,104.79
1393884000,104.78,104.92,102.9,103.34
1393970400,103.35,103.5,100.88,100.92
1394056800,100.93,102.05,100.19,101.92
1394143200,101.93,102.88,101.6,102.62
1394402400,102.72,102.77,100.88,100.91
1394488800,100.93,101.49,99.42,99.47
1394575200,99.49,99.57,97.59,98.06
1394661600,98.11,98.57,97.7,98.21
1394748000,98.22,99.23,98.09,99.02
1395007200,99.28,99.32,97.4,97.95
1395093600,97.95,99.75,97.78,99.51
1395180000,99.47,100.43,99.37,100.36
1395266400,99.14,99.42,98.11,98.6
1395352800,98.61,100.23,98.29,99.51
1395612000,99.47,100.26,99.08,99.41
1395698400,99.42,100.23,98.84,99.14
1395784800,99.16,100.43,99.13,100.27
1395871200,100.25,101.67,100.06,101.32
1395957600,101.32,102.2,101.21,101.58
1396216800,101.55,101.94,100.92,101.49
1396303200,101.51,101.52,99.31,99.65
1396389600,99.65,99.8,98.89,99.26
1396476000,99.29,100.47,99.1,100.4
1396562400,100.35,101.59,100.33,101.09
1396821600,101.1,101.29,99.94,100.71
1396908000,100.67,102.69,100.67,102.33
1396994400,102.33,103.74,102.06,103.4
1397080800,103.38,103.8,103.13,103.33
1397167200,103.31,104.41,103.04,103.38
1397426400,103.38,104.53,103.38,103.55
1397512800,103.62,104.01,102.98,103.84
1397599200,103.73,104.96,103.16,103.78
1397685600,103.8,104.75,103.41,104.54
1397772000,104.54,104.54,104.54,104.54
1398031200,104.54,104.73,102.99,103.56
1398117600,103.58,103.63,101.53,101.8
1398204000,101.88,102.05,101.23,101.55
1398290400,101.51,102.33,101.44,101.83
1398376800,101.9,102.03,100.51,100.61
1398636000,100.61,101.49,100.34,100.84
1398722400,100.84,102.18,100.73,100.73
1398808800,100.73,100.73,99.39,99.66
1398895200,99.7,99.86,98.78,99.19
1398981600,99.15,100.11,99.15,99.91
1399240800,99.91,100.4,98.95,99.38
1399327200,99.37,100.39,99.35,99.85
1399413600,99.82,100.96,99.81,100.81
1399500000,100.78,100.91,99.9,100.24
1399586400,100.22,101.14,99.76,100.01
1399845600,100.01,100.91,99.95,100.59
1399932000,100.61,102,100.39,101.93
1400018400,101.88,102.64,101.86,101.99
1400104800,101.99,102.24,101.3,101.52
1400191200,101.52,102.2,101.42,102.09
1400450400,102.09,103.05,101.56,102.13
1400536800,102.08,102.98,101.71,102.94
1400623200,102.93,104.26,102.81,103.81
1400709600,103.81,104.19,103.58,103.73
1400796000,103.71,104.49,103.65,104.36
1401055200,104.36,104.36,103.95,104.18
1401141600,104.24,104.47,103.59,103.95
1401228000,104.11,104.37,102.68,103.06
1401314400,103.01,103.91,102.63,103.48
1401400800,103.36,103.53,102.43,102.83
1401660000,102.83,103.32,102.13,102.43
1401746400,102.4,102.83,102.26,102.81
1401832800,102.77,103.65,102.36,102.36
1401919200,102.34,102.66,101.61,102.44
1402005600,102.36,103.05,102.33,102.74
1402264800,102.74,104.55,102.65,104.45
1402351200,104.46,105.04,104.01,104.2
1402437600,104.29,104.79,104.19,104.45
1402524000,104.44,106.93,104.38,106.85
1402610400,106.79,107.65,106.39,106.78
1402869600,106.78,107.51,106.55,106.55
1402956000,106.56,107.16,106.04,106.59
1403042400,106.58,106.96,105.64,106.05
1403128800,105.73,106.69,105.14,106.03
1403215200,106.07,106.9,105.84,106.65
1403474400,106.65,107.34,105.94,106.03
1403560800,106.02,106.44,105.29,105.9
1403647200,106.12,107.45,105.51,106.75
1403733600,106.72,106.79,105.06,105.63
1403820000,105.6,106.16,105.36,105.7
1404079200,105.7,105.72,104.69,105.45
1404165600,105.43,106.07,104.63,105.23
1404252000,105.2,105.5,104.13,104.19
1404338400,104.26,104.26,103.69,104.05
1404424800,104.04,104.1,103.66,103.78
1404684000,103.78,104.06,103.21,103.37
1404770400,103.38,104.18,103.04,103.42
1404856800,103.43,103.57,101.87,101.87
1404943200,101.9,102.99,101.56,102.84
1405029600,102.84,102.89,100.46,100.66
1405288800,100.66,101.17,100.26,101.03
1405375200,100.92,101.04,99.04,100.12
1405461600,100.17,101.57,100.09,101.48
1405548000,101.47,103.87,101.3,103.7
1405634400,103.74,103.91,102,102.95
1405893600,102.95,103.07,101.51,102.75
1405980000,102.73,103.36,101.93,101.93
1406066400,101.95,103.31,101.81,103.25
1406152800,103.2,103.29,101.91,101.95
1406239200,102,102.51,101.03,101.94
1406498400,101.94,102.07,100.93,101.52
1406584800,101.59,101.79,100.41,101
1406671200,101,101.64,99.4,99.4
1406757600,99.41,99.84,97.6,97.6
1406844000,97.67,98.08,97.11,97.58
1407103200,97.58,98.65,97.46,98.39
1407189600,98.35,98.64,97.04,97.56
1407276000,97.6,98.11,96.75,96.8
1407362400,96.85,97.69,96.58,97.59
1407448800,97.59,98.41,97.19,97.54
1407708000,97.54,98.55,97.4,97.81
1407794400,97.8,97.91,96.86,97.13
1407880800,97.2,97.75,96.78,97.3
1407967200,97.25,97.56,95.29,95.45
1408053600,95.45,97.39,95.35,97.05
1408312800,97.05,97.14,95.84,96.5
1408399200,96.55,97.02,94.29,94.56
1408485600,92.8,93.54,92.76,93.45
1408572000,93.45,94.42,92.6,93.85
1408658400,93.86,94.03,92.96,93.4
1408917600,93.4,93.93,93.06,93.28
1409004000,93.34,94.31,93.34,93.8
1409090400,93.84,94.21,93.39,93.68
1409176800,93.72,94.69,93.49,94.55
1409263200,94.53,95.98,94.5,95.84
1409522400,95.84,95.89,95.54,95.74
1409608800,95.74,95.86,92.71,93.23
1409695200,93.24,95.8,93.09,95.05
1409781600,95.06,95.36,94.19,94.55
1409868000,94.53,94.97,92.89,93.5
1410127200,93.5,93.59,91.83,93.08
1410213600,93.08,93.92,92.55,92.71
1410300000,92.75,93,91.24,91.64
1410386400,91.69,93.41,90.46,93.03
1410472800,93.01,93.64,91.99,92.21
1410732000,92.21,93,90.76,92.77
1410818400,92.78,95.17,92.49,94.68
1410904800,94.67,95.03,93.76,93.96
1410991200,93.95,94.79,92.91,92.95
1411077600,92.95,92.99,91.18,91.7
1411336800,91.7,91.89,90.43,90.64
1411423200,90.79,92.06,90.7,91.68
1411509600,91.66,93.26,91.15,92.85
1411596000,92.9,93.51,92.08,92.44
1411682400,92.42,93.84,92.26,93.39
1411941600,93.39,94.61,92.77,94.31
1412028000,94.29,94.89,90.89,91.29
1412114400,91.34,92.94,90.51,90.67
1412200800,90.7,91.54,88.21,91.36
1412287200,91.35,91.76,89.39,89.7
1412546400,89.7,90.71,88.81,90.43
1412632800,90.43,90.54,88.39,88.39
1412719200,88.42,88.61,86.86,87.66
1412805600,87.7,87.91,84.14,84.3
1412892000,84.35,86.26,83.63,85.51
1413151200,85.51,85.84,84.11,84.93
1413237600,84.94,85.58,81.35,82.25
1413324000,82.32,82.41,80.05,81.03
1413410400,80.98,84.79,79.81,83.03
1413496800,83.14,84.41,82.48,82.9
1413756000,82.9,83.15,80.81,81.8
1413842400,81.83,83.24,81.61,82.51
1413928800,82.54,83.11,80.26,80.34
1414015200,80.34,82.34,80.08,81.83
1414101600,81.92,81.92,80.39,81.24
1414360800,81.24,81.24,79.48,80.6
1414447200,80.61,81.64,80.39,81.55
1414533600,81.58,82.85,81.46,81.93
1414620000,81.92,82.06,80.75,80.94
1414706400,81,81.24,79.56,80.65
1414965600,80.65,80.96,78.11,78.23
1415052000,78.23,78.38,75.94,77.43
1415138400,77.42,79.32,76.49,78.9
1415224800,78.87,79,77.15,77.85
1415311200,77.84,79.38,77.49,78.54
1415570400,78.53,79.82,77.16,77.18
1415656800,77.19,78.01,76.46,77.44
1415743200,77.47,78.06,76.66,76.95
1415829600,76.95,77.13,74.11,74.23
1415916000,74.23,76.26,73.29,75.9
1416175200,75.87,76.15,74.74,75.45
1416261600,75.44,76.39,74.16,74.2
1416348000,74.19,75.39,73.91,74.35
1416434400,74.33,76.23,74.23,76.23
1416520800,76.23,77.79,75.64,76.64
1416780000,76.66,76.99,75.53,75.66
1416866400,75.68,76.55,73.75,73.86
1416952800,73.85,74.42,73.33,73.5
1417039200,73.48,73.54,67.78,69.04
1417125600,68.82,69.59,65.88,65.95
1417384800,67.39,69.51,63.76,69.21
1417471200,69.2,69.34,66.71,67.55
1417557600,67.55,68.19,66.83,67.24
1417644000,67.23,68.19,66.11,66.75
1417730400,66.77,66.84,65.19,65.59
1417989600,65.6,65.6,62.8,62.99
1418076000,63.01,64.11,62.28,63.41
1418162400,63.4,63.43,60.46,61.1
1418248800,61.11,61.65,59.09,59.19
1418335200,59.18,59.54,57.36,57.43
1418594400,57.43,58.7,55.05,55.26
1418680800,55.24,57.12,53.64,55.39
1418767200,55.38,58.94,54.24,56.73
1418853600,56.08,59.01,54.08,55
1418940000,55.22,58.38,54.45,57.85
1419199200,58.08,58.5,55.16,55.3
1419285600,55.28,57.52,55.1,56.6
1419372000,56.63,57.12,55.1,55.61
1419458400,55.61,55.61,55.61,55.61
1419544800,55.61,56.56,54.54,55.06
1419804000,55.07,55.71,52.92,53.69
1419890400,53.69,54.29,52.73,53.8
