time,open,high,low,close
1388650200,14.32,14.59,14,14.23
1388736600,14.06,14.22,13.57,13.76
1388995800,13.41,14,13.22,13.55
1389082200,12.38,13.28,12.16,12.92
1389168600,13.04,13.24,12.86,12.87
1389255000,12.83,13.26,12.83,12.89
1389341400,12.6,12.9,12.14,12.14
1389600600,12.18,13.65,11.82,13.28
1389687000,12.89,12.9,11.96,12.28
1389773400,12.15,12.4,11.81,12.28
1389859800,12.32,12.66,12.28,12.53
1389946200,12.34,12.93,12.04,12.44
1390291800,12.63,13.42,12.61,12.87
1390378200,12.57,13.12,12.55,12.84
1390464600,13.67,14.66,13.67,13.77
1390551000,14.95,18.14,14.92,18.14
1390810200,17.29,18.99,16.85,17.42
1390896600,17.27,17.28,15.8,15.8
1390983000,17.95,18.04,16.71,17.35
1391069400,16.37,17.39,15.96,17.29
1391155800,18.71,18.99,17.27,18.41
1391415000,18.57,21.48,18.34,21.44
1391501400,19.99,20.07,18.44,19.11
1391587800,19.59,20.72,19.13,19.95
1391674200,19.09,19.09,17.09,17.23
1391760600,16.15,16.31,15.09,15.29
1392019800,15.63,15.76,15.1,15.26
1392106200,15.29,15.29,14.08,14.51
1392192600,14.31,14.64,14.02,14.3
1392279000,15.24,15.24,13.98,14.14
1392365400,14.21,14.22,13.44,13.57
1392711000,13.95,14.51,13.77,13.87
1392797400,14.85,15.73,14.12,15.5
1392883800,15.28,15.8,14.59,14.79
1392970200,14.74,14.79,14.19,14.68
1393229400,14.83,14.83,13.97,14.23
1393315800,14.17,14.83,13.66,13.67
1393402200,13.83,14.54,13.73,14.35
1393488600,14.56,14.69,13.92,14.04
1393575000,14.22,14.79,13.49,14
1393834200,16.47,16.78,15.38,16
1393920600,14.53,14.54,14,14.1
1394007000,14.13,14.32,13.81,13.89
1394093400,13.82,14.42,13.73,14.21
1394179800,13.51,14.43,13.51,14.11
1394435400,14.76,15.28,14.2,14.2
1394521800,14.22,14.93,13.84,14.8
1394608200,15.37,15.64,14.43,14.47
1394694600,14.28,16.66,14.24,16.22
1394781000,16.74,18.22,16.09,17.82
1395040200,16.39,16.4,15.37,15.64
1395126600,15.42,15.47,14.16,14.52
1395213000,14.56,15.95,13.89,15.12
1395299400,15.58,15.62,14.5,14.52
1395385800,13.96,15.17,13.77,15
1395645000,14.7,16.07,14.56,15.09
1395731400,14.16,15.05,13.96,14.02
1395817800,13.64,15.28,13.46,14.93
1395904200,15,15.63,14.49,14.62
1395990600,14.15,14.86,13.73,14.41
1396249800,13.88,14.16,13.57,13.88
1396336200,13.43,13.56,13.06,13.1
1396422600,13.17,13.35,12.92,13.09
1396509000,13.02,13.7,13.02,13.37
1396595400,12.88,14.55,12.6,13.96
1396854600,14.96,16.01,14.57,15.57
1396941000,15.59,16.2,14.81,14.89
1397027400,14.58,14.94,13.7,13.82
1397113800,13.98,16.38,13.81,15.89
1397200200,16.66,17.85,15.89,17.03
1397459400,16.14,17.4,16.1,16.11
1397545800,16.14,17.5,15.47,15.61
1397632200,14.89,15.27,14.05,14.18
1397718600,14.09,14.17,13.07,13.36
1398064200,14.1,14.11,13.17,13.25
1398150600,13.13,13.26,12.9,13.19
1398237000,13.35,13.75,13.27,13.27
1398323400,13.36,14.08,13.09,13.32
1398409800,13.93,14.67,13.91,14.06
1398669000,14.27,15.28,13.82,13.97
1398755400,13.88,14.24,13.61,13.71
1398841800,14.05,14.18,13.34,13.41
1398928200,13.64,13.75,13.1,13.25
1399014600,13.15,13.5,12.83,12.91
